,pattern,mean,std,mean-2std,mean+2std
871,1.10.0rc1399806981,0.25,0.4330127018922193,-0.6160254037844386,1.1160254037844386
999,15.0.2.0.0.1,0.25,0.4330127018922193,-0.6160254037844386,1.1160254037844386
540,1.2.0rc976507521685,0.25,0.4330127018922193,-0.6160254037844386,1.1160254037844386
270,1.10.0rc1142973040,0.25,0.4330127018922193,-0.6160254037844386,1.1160254037844386
421,2.0.0rc161,0.25,0.4330127018922193,-0.6160254037844386,1.1160254037844386
235,1.10.0rc1812620297,0.25,0.4330127018922193,-0.6160254037844386,1.1160254037844386
507,1.2.0rc963103103172,0.25,0.4330127018922193,-0.6160254037844386,1.1160254037844386
511,1.10.0rc838581645,0.25,0.4330127018922193,-0.6160254037844386,1.1160254037844386
179,2015.2.5rc1,0.25,0.4330127018922193,-0.6160254037844386,1.1160254037844386
451,16.0.1.0.2.5,0.25,0.4330127018922193,-0.6160254037844386,1.1160254037844386
844,3.1.1.post1,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
748,0.27.1.post1,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
251,0.2.5.2021.5.3,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
529,0.1.54.post12,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
503,0.2.2.2021.1.4,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
14,3.0.1.post3,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
294,1.0.2021.4.25.1619359700,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
140,0.2.5.2021.6.1,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
449,0.0.7.post28,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
83,3.1.2.post2,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
123,1.1.6.post2,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
183,0.1.2.post56,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
974,8.4.0.post0,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
574,2023.4.26.15.9.28,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
869,0.2.2.2020.12.23,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
826,0.1.56.post57,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
827,1.1.0.post2,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
581,0.1.3.post1,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
311,10.1.3.post1,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
934,0.2.6.post3,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
427,1.3.2.post2,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
204,1.16.0.post1,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
531,1.1.0.post1,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
489,0.1.2.post52,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
911,0.2.5.2021.3.15,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
356,0.1.2.post39,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
915,0.10.4.post1,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
150,2.0.9.post1,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
936,2023.4.28.14.58.43,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
197,0.0.1.post16,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
483,0.0.20.post1,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
142,0.2.5.2021.4.10,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
367,0.1.4.post1,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
452,16.0.1.0.4.35,0.26,0.43863424398922596,-0.6172684879784519,1.137268487978452
148,0.9.6rc1,0.26,0.4386342439892261,-0.6172684879784522,1.1372684879784523
880,1.0.40rc2,0.26,0.4386342439892261,-0.6172684879784522,1.1372684879784523
870,2.0.0rc15,0.26,0.4386342439892261,-0.6172684879784522,1.1372684879784523
937,4.3.0rc1,0.26,0.4386342439892261,-0.6172684879784522,1.1372684879784523
662,0.0.37rc1,0.26,0.4386342439892261,-0.6172684879784522,1.1372684879784523
386,1.18.0rc0,0.26,0.4386342439892261,-0.6172684879784522,1.1372684879784523
855,2.0.0rc58,0.26,0.4386342439892261,-0.6172684879784522,1.1372684879784523
938,1.0.3rc1,0.26,0.4386342439892261,-0.6172684879784522,1.1372684879784523
322,0.6.1rc5,0.26,0.4386342439892261,-0.6172684879784522,1.1372684879784523
598,0.8.0rc17,0.26,0.4386342439892261,-0.6172684879784522,1.1372684879784523
137,2.2.14rc2,0.26,0.4386342439892261,-0.6172684879784522,1.1372684879784523
534,0.0.0rc1,0.26,0.4386342439892261,-0.6172684879784522,1.1372684879784523
487,0.3.6rc2,0.26,0.4386342439892261,-0.6172684879784522,1.1372684879784523
914,2.4.0rc2,0.26,0.4386342439892261,-0.6172684879784522,1.1372684879784523
152,0.9.5rc1,0.26,0.4386342439892261,-0.6172684879784522,1.1372684879784523
769,0.34.0rc4,0.26,0.4386342439892261,-0.6172684879784522,1.1372684879784523
804,0.17.0rc1,0.26,0.4386342439892261,-0.6172684879784522,1.1372684879784523
975,0.1.1rc7,0.26,0.4386342439892261,-0.6172684879784522,1.1372684879784523
946,0.2.2rc2,0.26,0.4386342439892261,-0.6172684879784522,1.1372684879784523
423,0.1.19rc0,0.26,0.4386342439892261,-0.6172684879784522,1.1372684879784523
312,11.0.0rc3,0.26,0.4386342439892261,-0.6172684879784522,1.1372684879784523
648,0.12.13rc0,0.26,0.4386342439892261,-0.6172684879784522,1.1372684879784523
668,2.0.0rc34,0.26,0.4386342439892261,-0.6172684879784522,1.1372684879784523
257,0.6.5rc2,0.26,0.4386342439892261,-0.6172684879784522,1.1372684879784523
765,0.8.1rc0,0.26,0.4386342439892261,-0.6172684879784522,1.1372684879784523
505,0.13.0rc0,0.26,0.4386342439892261,-0.6172684879784522,1.1372684879784523
509,1.25.0rc0,0.26,0.4386342439892261,-0.6172684879784522,1.1372684879784523
966,1.3.3rc1,0.26,0.4386342439892261,-0.6172684879784522,1.1372684879784523
843,1.0.0rc15,0.26,0.4386342439892261,-0.6172684879784522,1.1372684879784523
972,1.8.8rc1,0.26,0.4386342439892261,-0.6172684879784522,1.1372684879784523
265,0.0.0rc7,0.26,0.4386342439892261,-0.6172684879784522,1.1372684879784523
307,3.12.1.0b0,0.31,0.46249324319388696,-0.6149864863877739,1.234986486387774
718,4.6.4.3.dev1669997494,0.36,0.48,-0.6,1.3199999999999998
54,3.3.2.1.dev1603669168,0.36,0.48,-0.6,1.3199999999999998
23,3.5.2.3.dev1633349975,0.36,0.48,-0.6,1.3199999999999998
302,3.5.2.3.dev1633349953,0.36,0.48,-0.6,1.3199999999999998
527,3.3.2.2.dev1611327400,0.36,0.48,-0.6,1.3199999999999998
327,3.3.2.1.dev1603668607,0.36,0.48,-0.6,1.3199999999999998
721,4.7.1.9.dev1687799215,0.36,0.48,-0.6,1.3199999999999998
111,3.3.2.2.dev1610392687,0.36,0.48,-0.6,1.3199999999999998
805,3.3.2.2.dev1611065472,0.36,0.48,-0.6,1.3199999999999998
340,3.5.2.3.dev1628689602,0.36,0.48,-0.6,1.3199999999999998
149,4.5.5.2.dev1661561474,0.36,0.48,-0.6,1.3199999999999998
645,2022.4.5.1649199424.2099175379,0.37,0.48280430818293263,-0.5956086163658653,1.3356086163658651
249,2022.3.29.1648574864.2059828524,0.37,0.48280430818293263,-0.5956086163658653,1.3356086163658651
888,2022.3.21.1647871451.2016475340,0.37,0.48280430818293263,-0.5956086163658653,1.3356086163658651
717,2022.5.18.1652917386.2348696498,0.37,0.48280430818293263,-0.5956086163658653,1.3356086163658651
584,2022.4.13.1649871158.2162713318,0.37,0.48280430818293263,-0.5956086163658653,1.3356086163658651
28,2022.8.9.1660078506.2826659007,0.37,0.48280430818293263,-0.5956086163658653,1.3356086163658651
481,2022.5.11.1652288736.2308502936,0.37,0.48280430818293263,-0.5956086163658653,1.3356086163658651
117,2022.3.22.1647943812.2021556413,0.37,0.48280430818293263,-0.5956086163658653,1.3356086163658651
116,2022.6.24.1656081252.2556214208,0.37,0.48280430818293263,-0.5956086163658653,1.3356086163658651
51,1.1.116b10,0.37,0.48280430818293263,-0.5956086163658653,1.3356086163658651
79,2017.12.1b3,0.38,0.4853864439804638,-0.5907728879609276,1.3507728879609275
867,2017.12.1b0,0.38,0.4853864439804638,-0.5907728879609276,1.3507728879609275
422,0.1.0.181116.3,0.38,0.4853864439804639,-0.5907728879609278,1.3507728879609278
740,2.4.0b20230617,0.39,0.48774993593028815,-0.5854998718605763,1.3654998718605764
335,0.14.0b20220125,0.39,0.48774993593028815,-0.5854998718605763,1.3654998718605764
217,0.0.1.9.4,0.39,0.48774993593028815,-0.5854998718605763,1.3654998718605764
491,10.0.1.1.7,0.39,0.48774993593028815,-0.5854998718605763,1.3654998718605764
329,2.1.0b20220509,0.39,0.48774993593028815,-0.5854998718605763,1.3654998718605764
700,2.1.0b20220228,0.39,0.48774993593028815,-0.5854998718605763,1.3654998718605764
444,13.0.1.2.0,0.39,0.48774993593028815,-0.5854998718605763,1.3654998718605764
595,12.0.1.5.3,0.39,0.48774993593028815,-0.5854998718605763,1.3654998718605764
778,12.0.1.3.3,0.39,0.48774993593028815,-0.5854998718605763,1.3654998718605764
283,0.0.2.6.1,0.39,0.48774993593028815,-0.5854998718605763,1.3654998718605764
430,12.0.1.2.3,0.39,0.48774993593028815,-0.5854998718605763,1.3654998718605764
635,2.4.0b20230608,0.39,0.48774993593028815,-0.5854998718605763,1.3654998718605764
267,0.1.3.3.1,0.39,0.48774993593028815,-0.5854998718605763,1.3654998718605764
34,0.2.1.8.04,0.39,0.48774993593028815,-0.5854998718605763,1.3654998718605764
868,13.0.1.0.1,0.39,0.48774993593028815,-0.5854998718605763,1.3654998718605764
708,0.14.0b20220216,0.39,0.48774993593028815,-0.5854998718605763,1.3654998718605764
435,0.14.0b20220223,0.39,0.48774993593028815,-0.5854998718605763,1.3654998718605764
195,12.0.5.1.3,0.39,0.48774993593028815,-0.5854998718605763,1.3654998718605764
154,2.1.0b20220906,0.39,0.48774993593028815,-0.5854998718605763,1.3654998718605764
825,2.1.0b20220430,0.39,0.48774993593028815,-0.5854998718605763,1.3654998718605764
908,0.1.0b1225620,0.39,0.48774993593028815,-0.5854998718605763,1.3654998718605764
982,0.1.1b20230325,0.39,0.48774993593028815,-0.5854998718605763,1.3654998718605764
199,2.3.0b20230416,0.39,0.48774993593028815,-0.5854998718605763,1.3654998718605764
184,2.3.0b20230323,0.39,0.48774993593028815,-0.5854998718605763,1.3654998718605764
395,2.4.0b20230615,0.39,0.48774993593028815,-0.5854998718605763,1.3654998718605764
178,2.4.0b20230524,0.39,0.48774993593028815,-0.5854998718605763,1.3654998718605764
366,13.0.1.1.0,0.39,0.48774993593028815,-0.5854998718605763,1.3654998718605764
63,3.0.0b23,0.4,0.48989794855663554,-0.5797958971132711,1.379795897113271
520,0.4.3b11,0.4,0.48989794855663554,-0.5797958971132711,1.379795897113271
46,0.1.7b1,0.4,0.4898979485566356,-0.5797958971132712,1.3797958971132713
852,20.10.2b0,0.4,0.4898979485566356,-0.5797958971132712,1.3797958971132713
952,0.18.1a1653714139,0.4,0.4898979485566356,-0.5797958971132712,1.3797958971132713
551,0.0.1b9,0.4,0.4898979485566356,-0.5797958971132712,1.3797958971132713
682,0.4.6b2,0.4,0.4898979485566356,-0.5797958971132712,1.3797958971132713
98,22.9.0b4,0.4,0.4898979485566356,-0.5797958971132712,1.3797958971132713
419,1.0.1b2,0.4,0.4898979485566356,-0.5797958971132712,1.3797958971132713
410,0.19.1a1660828085,0.4,0.4898979485566356,-0.5797958971132712,1.3797958971132713
392,1.0.1a1567021648,0.4,0.4898979485566356,-0.5797958971132712,1.3797958971132713
927,6.32.0a1658137832,0.4,0.4898979485566356,-0.5797958971132712,1.3797958971132713
371,0.11.1a1643299761,0.4,0.4898979485566356,-0.5797958971132712,1.3797958971132713
978,2.12.1b2,0.4,0.4898979485566356,-0.5797958971132712,1.3797958971132713
497,2.6.0a1611855191,0.4,0.4898979485566356,-0.5797958971132712,1.3797958971132713
457,3.5.0a1638257670,0.4,0.4898979485566356,-0.5797958971132712,1.3797958971132713
119,6.19.0a1649785192,0.4,0.4898979485566356,-0.5797958971132712,1.3797958971132713
882,6.31.0a1657285227,0.4,0.4898979485566356,-0.5797958971132712,1.3797958971132713
696,2.4.0a1580387686,0.4,0.4898979485566356,-0.5797958971132712,1.3797958971132713
970,0.19.0b4,0.4,0.4898979485566356,-0.5797958971132712,1.3797958971132713
591,0.9.1a1640274882,0.4,0.4898979485566356,-0.5797958971132712,1.3797958971132713
851,0.0.1a1592974301,0.4,0.4898979485566356,-0.5797958971132712,1.3797958971132713
771,6.55.0a1681317026,0.4,0.4898979485566356,-0.5797958971132712,1.3797958971132713
902,0.21.3b0,0.4,0.4898979485566356,-0.5797958971132712,1.3797958971132713
719,1.3.8b2,0.4,0.4898979485566356,-0.5797958971132712,1.3797958971132713
810,0.1.1a1633640614,0.4,0.4898979485566356,-0.5797958971132712,1.3797958971132713
214,6.46.0a1673304792,0.4,0.4898979485566356,-0.5797958971132712,1.3797958971132713
477,2.2.7b8,0.4,0.4898979485566356,-0.5797958971132712,1.3797958971132713
317,0.22.0a16,0.41,0.4918333050943174,-0.5736666101886347,1.3936666101886348
240,0.27.1a1254,0.41,0.4918333050943174,-0.5736666101886347,1.3936666101886348
621,0.17.0a170,0.41,0.4918333050943174,-0.5736666101886347,1.3936666101886348
331,0.28.2a1434,0.41,0.4918333050943174,-0.5736666101886347,1.3936666101886348
945,0.20.1a587,0.41,0.4918333050943174,-0.5736666101886347,1.3936666101886348
495,0.8.12a1,0.41,0.4918333050943174,-0.5736666101886347,1.3936666101886348
260,0.0.30a1,0.41,0.4918333050943174,-0.5736666101886347,1.3936666101886348
344,0.28.1a1297,0.41,0.4918333050943174,-0.5736666101886347,1.3936666101886348
610,0.0.12a8,0.41,0.4918333050943174,-0.5736666101886347,1.3936666101886348
681,0.1.16a6,0.41,0.4918333050943174,-0.5736666101886347,1.3936666101886348
354,0.25.0a1062,0.41,0.4918333050943174,-0.5736666101886347,1.3936666101886348
22,0.8.28a3,0.41,0.4918333050943174,-0.5736666101886347,1.3936666101886348
699,0.9.92a3,0.41,0.4918333050943174,-0.5736666101886347,1.3936666101886348
390,0.12.0a47,0.41,0.4918333050943174,-0.5736666101886347,1.3936666101886348
749,0.0.34a1,0.41,0.4918333050943174,-0.5736666101886347,1.3936666101886348
802,0.26.0a1170,0.41,0.4918333050943174,-0.5736666101886347,1.3936666101886348
374,0.28.2a1358,0.41,0.4918333050943174,-0.5736666101886347,1.3936666101886348
578,0.20.1a423,0.41,0.4918333050943174,-0.5736666101886347,1.3936666101886348
9,0.28.1a1293,0.41,0.4918333050943174,-0.5736666101886347,1.3936666101886348
562,0.20.1a413,0.41,0.4918333050943174,-0.5736666101886347,1.3936666101886348
542,1.1.1a0,0.42,0.4935585071701228,-0.5671170143402455,1.4071170143402456
308,0.0.4a5,0.42,0.4935585071701228,-0.5671170143402455,1.4071170143402456
713,1.0.7a3,0.42,0.4935585071701228,-0.5671170143402455,1.4071170143402456
