,pattern,mean,std
798,0.20.0.dev25,0.48,0.49959983987187156
797,1.20.4.dev14,0.48,0.49959983987187156
570,1.8.1.dev7,0.48,0.49959983987187156
439,0.8.22.dev47,0.48,0.49959983987187156
745,0.6.2.dev6,0.48,0.49959983987187156
912,3.0.0.dev924790252,0.48,0.49959983987187156
920,0.55.0.dev55,0.48,0.49959983987187156
754,1.16.2.dev3,0.48,0.49959983987187156
426,0.54.0.dev62,0.48,0.49959983987187156
557,1.5.3.dev8,0.48,0.49959983987187156
795,3.0.10.dev1525759492,0.48,0.49959983987187156
762,0.0.2.dev202208101759,0.48,0.49959983987187156
764,2.0.6.dev73,0.48,0.49959983987187156
796,1.20.2.dev56,0.48,0.49959983987187156
860,3.0.6.dev1205642235,0.48,0.49959983987187156
611,2.3.7.dev5,0.48,0.49959983987187156
963,1.6.7.dev2,0.48,0.49959983987187156
846,1.1.3.dev1,0.48,0.49959983987187156
652,2.0.6.dev87,0.48,0.49959983987187156
651,1.11.2.dev14,0.48,0.49959983987187156
845,0.1.0.dev174,0.48,0.49959983987187156
948,1.12.1.dev9,0.48,0.49959983987187156
650,2.0.0.dev23,0.48,0.49959983987187156
863,0.8.14.dev49,0.48,0.49959983987187156
512,0.14.1.dev1530660634,0.48,0.49959983987187156
642,2.0.0.dev32,0.48,0.49959983987187156
632,0.2.2.dev181203015448,0.48,0.49959983987187156
521,1.3.3.dev54,0.48,0.49959983987187156
691,1.21.1.dev32,0.48,0.49959983987187156
839,1.20.4.dev28,0.48,0.49959983987187156
523,1.8.10.dev11,0.48,0.49959983987187156
524,2.4.1.dev681282974,0.48,0.49959983987187156
876,4.0.1.dev1638890722,0.48,0.49959983987187156
697,3.0.11.dev1921570287,0.48,0.49959983987187156
486,4.0.0.dev3235987968,0.48,0.49959983987187156
877,0.1.11.dev1,0.48,0.49959983987187156
482,1.6.0.dev1,0.48,0.49959983987187156
829,2.3.2.dev642726845,0.48,0.49959983987187156
706,0.55.0.dev5,0.48,0.49959983987187156
470,0.3.6.dev8,0.48,0.49959983987187156
469,0.0.1.dev2320248668,0.48,0.49959983987187156
625,0.54.0.dev66,0.48,0.49959983987187156
619,1.1.1.dev15,0.48,0.49959983987187156
736,2.0.0.dev2,0.48,0.49959983987187156
568,0.19.0.dev80,0.48,0.49959983987187156
0,1.19.4.dev37,0.48,0.49959983987187156
205,0.7.1.dev3,0.48,0.49959983987187156
361,2.0.6.dev65,0.48,0.49959983987187156
358,1.5.1.dev7,0.48,0.49959983987187156
355,0.27.0.dev5,0.48,0.49959983987187156
351,2.0.1.dev52,0.48,0.49959983987187156
334,0.0.0.dev2,0.48,0.49959983987187156
326,1.8.8.dev29,0.48,0.49959983987187156
286,3.3.2.dev4312804023,0.48,0.49959983987187156
259,0.6.1.dev1661763374,0.48,0.49959983987187156
248,0.0.20220513.dev1,0.48,0.49959983987187156
239,0.1.2.dev0,0.48,0.49959983987187156
212,0.10.5.dev2,0.48,0.49959983987187156
211,1.8.12.dev26,0.48,0.49959983987187156
162,0.6.0.dev201229,0.48,0.49959983987187156
139,3.0.0.dev8,0.48,0.49959983987187156
126,1.3.3.dev24,0.48,0.49959983987187156
112,2.3.1.dev1,0.48,0.49959983987187156
108,1.1.1.dev1588694604,0.48,0.49959983987187156
107,4.0.1.dev9,0.48,0.49959983987187156
92,0.4.1.dev10,0.48,0.49959983987187156
64,0.8.14.dev61,0.48,0.49959983987187156
60,0.1.0.dev202208150912,0.48,0.49959983987187156
56,1.15.2.dev25,0.48,0.49959983987187156
38,1.18.1.dev7,0.48,0.49959983987187156
364,0.4.1.dev1585605506,0.48,0.49959983987187156
379,0.0.1.dev2320168954,0.48,0.49959983987187156
499,1.5.3.dev17,0.48,0.49959983987187156
385,0.18.6.dev1556668687,0.48,0.49959983987187156
432,2.11.0.dev20230321,0.5,0.5
822,0.6.0.dev20230108,0.5,0.5
823,2.10.0.dev20221021,0.5,0.5
110,0.5.0.dev20221120,0.5,0.5
558,2.3.0.dev20201009,0.5,0.5
547,2.5.0.dev20210613,0.5,0.5
97,0.10.0.dev20230611,0.5,0.5
96,2.9.0.dev20220704,0.5,0.5
544,2.4.0.dev20210308,0.5,0.5
859,2.11.0.dev20221219,0.5,0.5
862,0.4.1.dev20220930,0.5,0.5
530,2.14.0.dev20230628,0.5,0.5
80,2.4.0.dev20210513,0.5,0.5
517,2.8.0.dev20220427,0.5,0.5
889,2.2.0.dev20200404,0.5,0.5
341,2.4.0.dev20210115,0.5,0.5
488,2.11.0.dev20221215,0.5,0.5
277,2.9.0.dev20220730,0.5,0.5
128,2.11.0.dev20230225,0.5,0.5
134,2.10.0.dev20221111,0.5,0.5
415,0.8.0.dev20230409,0.5,0.5
672,2.12.0.dev20230513,0.5,0.5
219,0.0.7.dev20210315,0.5,0.5
684,2.2.0.dev20200321,0.5,0.5
230,0.4.1.dev20221008,0.5,0.5
417,2.5.0.dev20211106,0.5,0.5
404,2.11.0.dev20230328,0.5,0.5
242,2.8.0.dev20220304,0.5,0.5
189,2.14.0.dev20230525,0.5,0.5
630,2.7.0.dev20220106,0.5,0.5
622,2.9.0.dev20220831,0.5,0.5
167,2.9.0.dev20220823,0.5,0.5
163,2.9.0.dev20220611,0.5,0.5
256,2.8.0.dev20220322,0.5,0.5
605,2.5.0.dev20210704,0.5,0.5
604,2.13.0.dev20230310,0.5,0.5
777,2.11.0.dev20230312,0.5,0.5
596,2.13.0.dev20230422,0.5,0.5
480,2.7.0.dev20220111,0.5,0.5
932,2.3.0.dev20201213,0.5,0.5
840,2.7.0.dev20211223,0.5,0.5
21,2.14.0.dev20230603,0.5,0.5
13,2.12.0.dev20230331,0.5,0.5
387,2.11.0.dev20230323,0.5,0.5
954,2.7.0.dev20220203,0.5,0.5
375,2.5.0.dev20210802,0.5,0.5
949,2.2.0.dev20200324,0.5,0.5
768,2013.1,0.52,0.49959983987187156
313,20210730.1,0.52,0.49959983987187156
925,2019.11,0.52,0.49959983987187156
532,2019.2,0.52,0.49959983987187156
613,0.157,0.55,0.4974937185533099
88,0.20050612,0.55,0.4974937185533099
168,1.3750,0.55,0.4974937185533099
401,0.968,0.55,0.4974937185533099
738,0.457454791,0.55,0.4974937185533099
272,0.449742367,0.55,0.4974937185533099
573,1.9897,0.55,0.4974937185533099
299,0.474461865,0.55,0.4974937185533099
536,89.0,0.56,0.49638694583963433
298,70.0,0.56,0.49638694583963433
232,39.0,0.56,0.49638694583963433
244,10.16,0.56,0.49638694583963433
363,36.4,0.56,0.49638694583963433
518,10.0,0.56,0.49638694583963433
905,19.6,0.56,0.49638694583963433
913,37.0,0.56,0.49638694583963433
647,75.1,0.56,0.49638694583963433
99,20.10,0.56,0.49638694583963433
755,2.05,0.57,0.49507575177946234
490,1.32,0.57,0.49507575177946234
263,1.94,0.57,0.49507575177946234
969,1.57,0.57,0.49507575177946234
735,4.56,0.57,0.49507575177946234
760,4.34,0.57,0.49507575177946234
962,2.64,0.57,0.49507575177946234
986,0.16,0.57,0.49507575177946234
39,2.14,0.57,0.49507575177946234
105,0.69,0.57,0.49507575177946234
352,1.05,0.57,0.49507575177946234
206,0.32,0.57,0.49507575177946234
445,0.8,0.58,0.4935585071701228
941,1.3,0.58,0.4935585071701228
47,2019.4.8.0,0.66,0.47370877129308087
324,2021.4.30.1,0.66,0.47370877129308087
306,2020.8.19.5,0.66,0.47370877129308087
894,2015.1.1.1,0.66,0.47370877129308087
479,2019.4.22.0,0.66,0.47370877129308087
5,2019.9.27.0,0.66,0.47370877129308087
716,2018.11.30.1,0.66,0.47370877129308087
904,2020.11.14.4,0.66,0.47370877129308087
493,2019.2.26.0,0.66,0.47370877129308087
783,14.0.20220121.0,0.67,0.47021271782034996
928,15.0.20230116.0,0.67,0.47021271782034996
615,12.0.20190510.0,0.67,0.47021271782034996
434,15.0.20221107.0,0.67,0.47021271782034996
269,12.0.20190605.0,0.67,0.47021271782034996
19,11.0.20180829.0,0.67,0.47021271782034996
448,109.0.5414.74,0.68,0.4664761515876237
866,2017.5.9.2002,0.68,0.4664761515876237
125,0.2017.1.13,0.7,0.4582575694955838
70,96.0.4664.35,0.7,0.4582575694955838
737,0.2020.1.20,0.7,0.4582575694955838
151,4.0.0.3,0.71,0.45376205218153687
669,1.3.6.8,0.71,0.45376205218153687
995,0.3.10.3,0.71,0.45376205218153687
113,0.8.2.4,0.71,0.45376205218153687
815,2.11.0.2,0.71,0.45376205218153687
115,4.6.6.4,0.71,0.45376205218153687
226,1.10.2.1,0.71,0.45376205218153687
279,0.0.31.8,0.71,0.45376205218153687
454,0.5.7.7,0.71,0.45376205218153687
654,0.2.8.0,0.71,0.45376205218153687
692,0.2.7.1,0.71,0.45376205218153687
3,1.17.52.0,0.71,0.45376205218153687
275,3.15.0.4,0.71,0.45376205218153687
987,0.0.6.4,0.71,0.45376205218153687
273,0.5.8.2,0.71,0.45376205218153687
209,0.9.84.3,0.71,0.45376205218153687
710,1.12.37.0,0.71,0.45376205218153687
201,2.13.21.2,0.71,0.45376205218153687
983,1.12.17.0,0.71,0.45376205218153687
246,2.3.6.9,0.71,0.45376205218153687
793,1.0.1.8,0.71,0.45376205218153687
7,0.0.4.1,0.71,0.45376205218153687
169,0.3.3.2,0.71,0.45376205218153687
620,1.17.18.0,0.71,0.45376205218153687
752,0.8.0.1469056261,0.71,0.45376205218153687
166,0.2.10.0,0.71,0.45376205218153687
758,1.1.6.2,0.71,0.45376205218153687
158,1.9.1.2,0.71,0.45376205218153687
16,0.9.8.6,0.71,0.45376205218153687
935,0.9.16.4,0.71,0.45376205218153687
282,2.4.9.3,0.71,0.45376205218153687
223,1.3.5.230109,0.71,0.45376205218153687
951,1.17.63.0,0.71,0.45376205218153687
90,0.9.0.1472137761,0.71,0.45376205218153687
525,1.1.4.4,0.71,0.45376205218153687
76,0.0.7.2,0.71,0.45376205218153687
878,0.0.31.4,0.71,0.45376205218153687
71,0.8.0.1469054252,0.71,0.45376205218153687
